Horodateur,Savez-vous en quoi consiste une démarche de RSE ?,Diriez-vous que ... [Je suis très sensible aux questions RSE],Diriez-vous que ... [Je me sens en capacité d'agir pour la RSE],Diriez-vous que ... [Je m'efforce dans mon travail quotidien de prendre en compte les questions RSE],Diriez-vous que ... [L'IAE respecte déjà la RSE],Diriez-vous que ... [Notre activité n'est pas la plus pertinente pour intégrer les questions RSE],Diriez-vous que ... [Je me sens compétent.e pour intégrer les questions RSE à mon travail quotidien],Diriez-vous que ... [J'ai besoin d'être formé.e concernant la RSE],Diriez-vous que ... [Je n'ai pas les ressources nécessaires pour prendre en compte les aspects RSE dans mon travail quotidien],"Concernant les 7 domaines de la RSE, comment évaluez-vous votre niveau de connaissance et votre capacité d'agir ?  [La gouvernance ]","Concernant les 7 domaines de la RSE, comment évaluez-vous votre niveau de connaissance et votre capacité d'agir ?  [Le droit des personnes]","Concernant les 7 domaines de la RSE, comment évaluez-vous votre niveau de connaissance et votre capacité d'agir ?  [Les relations et conditions de travail]","Concernant les 7 domaines de la RSE, comment évaluez-vous votre niveau de connaissance et votre capacité d'agir ?  [L'environnement]","Concernant les 7 domaines de la RSE, comment évaluez-vous votre niveau de connaissance et votre capacité d'agir ?  [La loyauté des pratiques et des relations d'affaires ]","Concernant les 7 domaines de la RSE, comment évaluez-vous votre niveau de connaissance et votre capacité d'agir ?  [L'intérêt des clients / consommateurs ]","Concernant les 7 domaines de la RSE, comment évaluez-vous votre niveau de connaissance et votre capacité d'agir ?  [Le développement local et l'inclusion dans les communautés locales]",Êtes-vous ?,Comment intégrez-vous la démarche RSE dans votre travail quotidien ?,"Pouvez-vous nous précisez comment vous intégrez la démarche dans votre travail quotidien ? Ou pourquoi vous ne l'intégrez pas ?
(N'hésitez pas à détailler :) ) ","Que signifie pour vous ""intégrer la RSE dans son travail quotidien"" ?

(N'hésitez pas à détailler :) )",C'est le rôle de l'IAE de former les étudiants aux questions RSE,Comment intégrez-vous les questions de la RSE dans vos enseignements ?,"Pouvez-vous nous précisez comment vous intégrez les notions dans vos enseignements (cours, projets etc ) ? Ou pourquoi vous ne les intégrez pas ?
(N'hésitez pas à détailler :) ) ","Avez-vous des suggestions / idées sur ce qui doit être mis en place d’un point de vue RSE au sein de l’IAE ? 
(N'hésitez pas à être exhaustif.ve :) )","Aimeriez-vous être formé.e et/ou outillé.e pour améliorer votre impact en matière de RSE ?

Plusieurs réponses possibles","Si vous souhaitez sortir de l’anonymat et nourrir les réflexions de l'IAE autour des questions sur la RSE, vous pouvez nous laisser votre nom, prénom et mail.
Merci"
25/10/2023 14:55:21,7,"Non, pas du tout","Non, pas du tout","Non, pas du tout","Non, pas du tout","Non, pas du tout","Non, pas du tout","Non, pas du tout","Non, pas du tout",Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je ne connais pas bien,Je connais en théorie mais je ne sais pas comment agir,Personnel enseignant (y compris vacataire),,,,1,Je n'intègre pas particulièrement cette démarche dans mes enseignements,"La RSE est sans intérêt dans un pays qui dispose d'un cadre juridique. Pire, elle n'a aucun sens lorsqu'on parle de convivialité. ",Aucune la RSE est sans intérêt dans un pays civilisé.,"Non, cela ne m'intéresse pas.",Cette question est déplacée par rapport aux besoins de l'enquête.
25/10/2023 14:57:07,7,2,3,3,4,3,2,3,2,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je connais bien et je sais comment agir en faveur de la RSE,Personnel enseignant (y compris vacataire),,,,5,Je n'intègre pas particulièrement cette démarche dans mes enseignements,Je ne suis pas régulièrement sur place par contre je digitalise tous mes contenus (plus de papiers),,"Non, je connais suffisamment.",
25/10/2023 15:10:57,7,4,4,4,4,3,4,4,3,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je ne connais pas bien,Je ne connais pas bien,Je connais en théorie mais je ne sais pas comment agir,Personnel BIATSS,Je n'intègre pas particulièrement cette démarche dans mon travail quotidien.,,,,,,,"Oui, j'aimerais mieux comprendre la démarche RSE.",
25/10/2023 15:18:16,3,"Non, pas du tout","Non, pas du tout","Non, pas du tout",2,2,"Non, pas du tout","Non, pas du tout","Non, pas du tout",Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Personnel enseignant (y compris vacataire),,,,4,Je n'intègre pas particulièrement cette démarche dans mes enseignements,,,"Non, cela ne m'intéresse pas.",
25/10/2023 15:23:52,1,"Non, pas du tout",2,"Non, pas du tout",4,"Oui, tout à fait","Non, pas du tout",4,2,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Personnel enseignant (y compris vacataire),,,,1,Je n'intègre pas particulièrement cette démarche dans mes enseignements,Pas d’intérêt particulier à intégrer le rse dans ma matière ,,"Non, cela ne m'intéresse pas.",
25/10/2023 15:33:16,6,"Oui, tout à fait",4,4,2,2,4,3,3,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais bien et je sais comment agir en faveur de la RSE,Personnel enseignant (y compris vacataire),,,,7,Je n'intègre pas particulièrement cette démarche dans mes enseignements,,,"Oui, j'aimerais mieux comprendre la démarche RSE.",
25/10/2023 15:45:46,7,4,2,3,3,"Non, pas du tout",3,"Non, pas du tout","Non, pas du tout",Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Personnel enseignant (y compris vacataire),,,,7,J'intègre ces questions tout au long de mes enseignements,en rappel des obligations de l employeur dans une cours de rh ( même sur la formation),,"Non, je connais suffisamment.",
25/10/2023 15:50:31,7,"Oui, tout à fait","Oui, tout à fait","Oui, tout à fait",3,3,"Oui, tout à fait",3,"Non, pas du tout",Je connais bien et je sais comment agir en faveur de la RSE,Je connais en théorie mais je ne sais pas comment agir,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Personnel enseignant (y compris vacataire),,,,6,J'intègre ces questions tout au long de mes enseignements,La RSE nécessite ma mise en place d'indicateurs pour mesurer sa prise en compte. C'est un des vecteurs de valorisation de la data.,,"Non, je connais suffisamment.",
25/10/2023 16:31:11,5,"Oui, tout à fait",4,3,3,"Non, pas du tout",4,4,"Non, pas du tout",Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Personnel enseignant (y compris vacataire),,,,5,J'intègre ces questions tout au long de mes enseignements,,,"Oui, j'aimerais mieux comprendre la démarche RSE., Oui, j'aimerais savoir agir davantage en faveur de la RSE.",
25/10/2023 16:34:37,7,3,4,3,3,"Non, pas du tout",4,2,"Non, pas du tout",Je connais en théorie mais je ne sais pas comment agir,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais en théorie mais je ne sais pas comment agir,Je connais bien et je sais comment agir en faveur de la RSE,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Personnel enseignant (y compris vacataire),,,,7,J'intègre ces questions tout au long de mes enseignements,,,"Non, je connais suffisamment.",
25/10/2023 17:20:17,7,"Oui, tout à fait","Oui, tout à fait","Non, pas du tout",2,2,"Oui, tout à fait",3,3,Je ne connais pas bien,Je ne connais pas bien,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais en théorie mais je ne sais pas comment agir,Je ne connais pas bien,Je ne connais pas bien,Personnel enseignant (y compris vacataire),,,,7,Je n'intègre pas particulièrement cette démarche dans mes enseignements,,,"Non, cela ne m'intéresse pas.",
25/10/2023 20:38:52,1,"Non, pas du tout","Non, pas du tout",3,3,3,"Non, pas du tout",3,"Non, pas du tout",Je connais en théorie mais je ne sais pas comment agir,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Personnel enseignant (y compris vacataire),,,,7,Je n'intègre pas particulièrement cette démarche dans mes enseignements,,,"Oui, j'aimerais mieux comprendre la démarche RSE.",
25/10/2023 21:24:04,2,3,"Non, pas du tout","Non, pas du tout",3,"Non, pas du tout","Non, pas du tout","Oui, tout à fait","Oui, tout à fait",Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Personnel enseignant (y compris vacataire),,,,7,Je n'intègre pas particulièrement cette démarche dans mes enseignements,,,"Oui, j'aimerais mieux comprendre la démarche RSE., Oui, j'aimerais savoir agir davantage en faveur de la RSE.",
26/10/2023 08:36:22,4,4,4,4,2,"Non, pas du tout",4,4,4,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Personnel enseignant (y compris vacataire),,,,6,J'intègre ces questions tout au long de mes enseignements,"UEs Projets sinon thématique abordée sous l’angle du cours (conso, com, etc)","Dans les assos étudiantes, de manière transversale dans les cours, via une charte de bonnes pratiques ","Oui, j'aimerais mieux comprendre la démarche RSE., Oui, j'aimerais savoir agir davantage en faveur de la RSE.",Sophie Changeur
26/10/2023 08:48:12,7,3,4,"Oui, tout à fait",3,4,"Oui, tout à fait",3,3,Je connais bien et je sais comment agir en faveur de la RSE,Je connais en théorie mais je ne sais pas comment agir,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Personnel enseignant (y compris vacataire),,,,6,J'intègre ces questions tout au long de mes enseignements,"Les sujets sont évoqués durant les cours, dès que l'occasion se présente",,"Non, je connais suffisamment.",
26/10/2023 10:09:58,5,4,"Oui, tout à fait","Oui, tout à fait",2,"Non, pas du tout",4,4,3,Je ne connais pas bien,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais bien et je sais comment agir en faveur de la RSE,Je ne connais pas bien,Je connais bien et je sais comment agir en faveur de la RSE,Je connais en théorie mais je ne sais pas comment agir,Personnel enseignant (y compris vacataire),,,,6,J'intègre ces questions tout au long de mes enseignements,"Pour moi, c'est une notion transversale : je tâche d'aborder chaque notion par le prisme de la RSE à un moment ou à un autre de mes enseignements. Cela prend la forme, à minima d'une discussion / débat avec les étudiants lorsqu'il ne s'agit pas d'un aspect à respecter / mettre en œuvre lors d'études de cas / études à mener / projets à conduire ","Favoriser la participation concrète des étudiants à des projets / initiatives RSE. Par exemple, inclusion obligatoire d'une composante RSE dans les projets développés, participation à des événements type concours en ce sens (et, de fait, valorisation des étudiants également)","Oui, j'aimerais mieux comprendre la démarche RSE., Oui, j'aimerais savoir agir davantage en faveur de la RSE.","Je trouve (peut être à tord) que la RSE est trop abordée sous l'angle de l'environnement à l'IAE et trop peu au regard d'autres considérations (i.e.: inclusivité vis à vis du handicap, genre etc). Il faudrait élargir les thématiques pour sortir les étudiants d'une certaine lassitude qui semble s'être installée. 

Alicia :) "
26/10/2023 12:25:30,7,"Oui, tout à fait","Oui, tout à fait","Oui, tout à fait",4,3,"Oui, tout à fait","Non, pas du tout","Non, pas du tout",Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Personnel enseignant (y compris vacataire),,,,5,J'intègre ces questions tout au long de mes enseignements,,,"Non, je connais suffisamment.",
27/10/2023 11:27:09,3,4,3,3,"Non, pas du tout","Non, pas du tout",3,4,4,Je ne connais pas bien,Je ne connais pas bien,Je ne connais pas bien,Je connais en théorie mais je ne sais pas comment agir,Je ne connais pas bien,Je connais en théorie mais je ne sais pas comment agir,Je connais en théorie mais je ne sais pas comment agir,Personnel BIATSS,Je n'intègre pas particulièrement cette démarche dans mon travail quotidien.,Pas les connaissances pour l'intégrer et pas forcément les moyens,développement durable ? prise de conscience ? ,,,,,"Oui, j'aimerais mieux comprendre la démarche RSE., Oui, j'aimerais savoir agir davantage en faveur de la RSE.",
29/10/2023 21:17:05,5,3,3,3,2,"Non, pas du tout",2,"Non, pas du tout",2,Je connais en théorie mais je ne sais pas comment agir,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je connais bien et je sais comment agir en faveur de la RSE,Je ne connais pas bien,Je connais bien et je sais comment agir en faveur de la RSE,Je ne connais pas bien,Personnel enseignant (y compris vacataire),,,,7,J'intègre ces questions tout au long de mes enseignements,"Petite partie sur la faible représentation des femmes et des minorités visibles dans la direction des entreprises, green washing à travers les rapports annuels des entreprises, obligations vertes (fonctionnement, émetteurs, impact), notation RSE, ... 
Mais la part de ce thème dans mes cours reste faible (ce n'est pas le sujet).","Rendre plus visible dans les maquettes (un cours?)
Comment impliquer les étudiants alors qu'ils préfèrent la voiture au bus et prennent l'ascenseur à la place de l'escalier... C'est un vrai sujet.","Oui, j'aimerais savoir agir davantage en faveur de la RSE., Impliquer tous les acteurs sans tomber dans le piège de la communication.",Jacques-Marie. Bon courage et je peux t'assurer de mon soutien !😉
